,date,ticker,name,reason,action
215,2014-01-24,TSCO,Tractor Supply,Life Technologies acquired by Thermo Fisher Scientific Inc[164].,added
214,2014-03-21,GMCR,Keurig Green Mountain,Market capitalization changes[163].,added
214,2014-03-21,WPX,WPX Energy,Market capitalization changes[163].,removed
213,2014-04-02,CLF,Cliffs Natural Resources,Market capitalization changes[162].,removed
213,2014-04-02,ESS,Essex Property Trust,Market capitalization changes[162].,added
212,2014-04-03,GOOGL,Google,Google Class C share distribution[161].,added
210,2014-05-01,BEAM,Beam Inc,Beam acquired by Suntory[160].,removed
211,2014-05-01,NAVI,Navient,Navient Spun off from SLM[160].,added
211,2014-05-01,SLM,SLM Corporation,Navient Spun off from SLM[160].,removed
210,2014-05-01,UA,Under Armour (Class A),Beam acquired by Suntory[160].,added
209,2014-05-08,AVGO,Avago Technologies,Avago acquires LSI[159].,added
209,2014-05-08,LSI,LSI Corporation,Avago acquires LSI[159].,removed
208,2014-06-20,IGT,International Game Technology,Market capitalization changes[158].,removed
208,2014-06-20,XEC,Cimarex Energy,Market capitalization changes[158].,added
207,2014-07-01,FRX,Forest Laboratories,Actavis acquires Forest Laboratories[157].,removed
207,2014-07-01,AMG,Affiliated Managers Group,Actavis acquires Forest Laboratories[157].,added
206,2014-07-02,X,United States Steel,Market capitalization changes[156].,removed
206,2014-07-02,MLM,Martin Marietta,Market capitalization changes[156].,added
205,2014-08-06,DISCK,Discovery Communications,Class C share distribution[155].,added
204,2014-08-18,RDC,Rowan Companies,Market cap changes[154].,removed
204,2014-08-18,MNK,Mallinckrodt,Market cap changes[154].,added
202,2014-09-20,URI,United Rentals,Market cap changes[153].,added
202,2014-09-20,BTU,Peabody Energy,Market cap changes[153].,removed
203,2014-09-20,GHC,Graham Holdings,Market cap changes.,removed
203,2014-09-20,UHS,Universal Health Services,Market cap changes.,added
201,2014-11-05,JBL,Jabil Circuit,Market cap changes[152].,removed
201,2014-11-05,LVLT,Level 3 Communications,Market cap changes[152].,added
200,2014-12-05,BMS,Bemis Company,Market cap changes[151].,removed
200,2014-12-05,RCL,Royal Caribbean Cruises,Market cap changes[151].,added
198,2015-01-27,SWY,Safeway,Safeway acquired by private equity consortium[149].,removed
199,2015-01-27,COV,Covidien,Covidien acquired by Medtronic[150].,removed
198,2015-01-27,HCA,HCA Holdings,Safeway acquired by private equity consortium[149].,added
199,2015-01-27,ENDP,Endo International,Covidien acquired by Medtronic[150].,added
197,2015-03-12,PETM,PetSmart,PetSmart acquired by private equity consortium[148].,removed
197,2015-03-12,SWKS,Skyworks,PetSmart acquired by private equity consortium[148].,added
196,2015-03-18,HSIC,Henry Schein,Carefusion acquired by Becton Dickinson[147].,added
196,2015-03-18,CFN,Carefusion,Carefusion acquired by Becton Dickinson[147].,removed
195,2015-03-23,HBI,Hanesbrands,Market Capitalization Changes..,added
194,2015-03-23,SLG,SL Green Realty,Market Capitalization Changes..,added
193,2015-03-23,EQIX,Equinix,Market Capitalization Changes.,added
192,2015-03-23,AAL,American Airlines Group,Allergan acquired by Actavis (and changed name to Allergan).,added
195,2015-03-23,AVP,Avon Products,Market Capitalization Changes..,removed
194,2015-03-23,NBR,Nabors Industries,Market Capitalization Changes..,removed
193,2015-03-23,DNR,Denbury Resources,Market Capitalization Changes.,removed
192,2015-03-23,AGN,Allergan,Allergan acquired by Actavis (and changed name to Allergan).,removed
191,2015-04-07,WIN,Windstream Communications,Market capitalization change.,removed
191,2015-04-07,O,Realty Income Corporation,Market capitalization change.,added
190,2015-06-11,QRVO,Qorvo,Lorillard gets acquired.,added
190,2015-06-11,LO,Lorillard Tobacco Company,Lorillard gets acquired.,removed
188,2015-07-01,TEG,Integrys Energy Group,Integrys taken over.,removed
188,2015-07-01,JBHT,J.B. Hunt,Integrys taken over.,added
189,2015-07-01,BXLT,Baxalta,Baxalta spun off by Baxter.,added
189,2015-07-01,QEP,QEP Resources,Baxalta spun off by Baxter.,removed
187,2015-07-02,CPGX,Columbia Pipeline Group,Spin off of Columbia Pipeline.,added
187,2015-07-02,ATI,Allegheny Technologies,Spin off of Columbia Pipeline.,removed
186,2015-07-06,KHC,Kraft Heinz,Kraft merger with Heinz.,added
186,2015-07-06,KRFT,Kraft Foods,Kraft merger with Heinz.,removed
185,2015-07-08,AAP,Advance Auto Parts,Family Dollar acquired.,added
185,2015-07-08,FDO,Family Dollar,Family Dollar acquired.,removed
184,2015-07-20,PYPL,PayPal,PayPal Spun off by eBay[137].,added
184,2015-07-20,NE,Noble Corporation,PayPal Spun off by eBay[137].,removed
183,2015-07-29,DTV,DirecTV,DirecTV acquired by AT&T.,removed
183,2015-07-29,SIG,Signet Jewelers,DirecTV acquired by AT&T.,added
182,2015-08-28,PLL,Pall Corporation,Pall taken over[135].,removed
182,2015-08-28,ATVI,Activision Blizzard,Pall taken over[135].,added
181,2015-09-02,HSP,Hospira,Hospira taken over[135].,removed
181,2015-09-02,UAL,United Continental Holdings,Hospira taken over[135].,added
178,2015-09-18,CMCSK,Comcast Class K Special,Share class methodology change[134].,added
179,2015-09-18,FOX,Twenty-First Century Fox Class B,Share class methodology change.,added
180,2015-09-18,NWS,News Corporation Class B,Share class methodology change.,added
177,2015-10-07,JOY,Joy Global,Market capitalization change.,removed
177,2015-10-07,VRSK,Verisk Analytics,Market capitalization change.,added
176,2015-11-02,HCBK,Hudson City Bancorp,HPQ spins off HPE[132].,removed
176,2015-11-02,HPE,Hewlett Packard Enterprise,HPQ spins off HPE[132].,added
175,2015-11-18,SYF,Synchrony Financial,GE spinning off Synchrony Financial[131].,added
175,2015-11-18,GNW,Genworth Financial,GE spinning off Synchrony Financial[131].,removed
174,2015-11-19,SIAL,Sigma-Aldrich,Sigma-Aldrich acquired by Merck KGaA (MKGAY)[130].,removed
174,2015-11-19,ILMN,Illumina,Sigma-Aldrich acquired by Merck KGaA (MKGAY)[130].,added
173,2015-12-01,CSC,Computer Sciences Corporation,CSC spins off CSRA[129].,removed
173,2015-12-01,CSRA,CSRA,CSC spins off CSRA[129].,added
172,2015-12-15,CMCSK,Comcast K Corp,CMCSK shares no longer listed[128].,removed
171,2015-12-29,CHD,Church & Dwight,ALTR taken over by INTC[127].,added
171,2015-12-29,ALTR,Altera,ALTR taken over by INTC[127].,removed
170,2016-01-05,FOSL,Fossil Group,WSH merges with TW (and renames to WLTW)[126].,removed
170,2016-01-05,WLTW,Willis Towers Watson,WSH merges with TW (and renames to WLTW)[126].,added
169,2016-01-19,ACE,Chubb,"EXR replaces ACE as ACE Ltd acquires Chubb and retains the CB ticker, giving up ACE[125].",removed
169,2016-01-19,EXR,Extra Space Storage,"EXR replaces ACE as ACE Ltd acquires Chubb and retains the CB ticker, giving up ACE[125].",added
167,2016-02-01,CFG,Citizens,CFG replaces PCP[123].,added
168,2016-02-01,FRT,Federal Realty Investment Trust,FRT replaces BRCM[124].,added
167,2016-02-01,PCP,Precision Castparts Corporation,CFG replaces PCP[123].,removed
168,2016-02-01,BRCM,Broadcom Corporation,FRT replaces BRCM[124].,removed
166,2016-02-22,CXO,Concho Resources,PCL taken over by WY[122].,added
166,2016-02-22,PCL,Plum Creek Timber,PCL taken over by WY[122].,removed
165,2016-03-04,AWK,American Water Works,AWK replaces CNX[121].,added
165,2016-03-04,CNX,Consol Energy,AWK replaces CNX[121].,removed
164,2016-03-07,UDR,UDR Inc,JAB Holding Company acquired Keurig Green Mountain[120].,added
164,2016-03-07,GMCR,Keurig Green Mountain,JAB Holding Company acquired Keurig Green Mountain[120].,removed
163,2016-03-30,ESV,Ensco,Centene acquired Health Net.,removed
162,2016-03-30,POM,Pepco Holdings,Exelon acquired Pepco.,removed
163,2016-03-30,CNC,Centene Corporation,Centene acquired Health Net.,added
162,2016-03-30,HOLX,Hologic,Exelon acquired Pepco.,added
161,2016-04-04,CAM,Cameron International,Schlumberger acquired Cameron[118].,removed
161,2016-04-04,FL,Foot Locker,Schlumberger acquired Cameron[118].,added
160,2016-04-08,UA,Under Armour (Class C),Under Armour distribution of second class of stock.,added
159,2016-04-18,THC,Tenet Healthcare,Ulta replaces Tenet[117].,removed
159,2016-04-18,ULTA,Ulta Beauty,Ulta replaces Tenet[117].,added
158,2016-04-25,GME,GameStop,Global Payments is acquiring Heartland Payment Systems[116].,removed
158,2016-04-25,GPN,Global Payments,Global Payments is acquiring Heartland Payment Systems[116].,added
157,2016-05-03,AYI,Acuity Brands,ADT acquired by APO[115].,added
157,2016-05-03,ADT,ADT,ADT acquired by APO[115].,removed
156,2016-05-13,SNDK,SanDisk,SNDK acquired by WDC[114].,removed
156,2016-05-13,ALK,Alaska Air Group,SNDK acquired by WDC[114].,added
155,2016-05-18,TWC,Time Warner Cable,TWC acquired by CHTR[113].,removed
155,2016-05-18,DLR,Digital Realty,TWC acquired by CHTR[113].,added
154,2016-05-23,ARG,Airgas,ARG acquired by Air Liquide[112].,removed
154,2016-05-23,LKQ,LKQ Corporation,ARG acquired by Air Liquide[112].,added
153,2016-05-31,AJG,Arthur J. Gallagher & Co.,CCE merging with European bottlers[111].,added
